,,,,,,
"""Bitcoin""",BTC,6392.89117815,1,20,127857.823563,"""2018-09-13T00:29:24.190Z"""
,,,,,,
"""XRP""",XRP,0.274215150457,0.0000428937616511022,12,3.290581805484,"""2018-09-13T00:29:24.190Z"""
,,,,,,
"""Dash""",DASH,186.850101111,0.02922779316964244,154,28774.915571094,"""2018-09-13T00:29:24.190Z"""
,,,,,,
"""Monero""",XMR,106.619441196,0.016677812624186408,60,6397.16647176,"""2018-09-13T00:29:24.190Z"""
,,,,,,
"""Bitcoin""",BTC,6416.78158095,1,20,128335.63161899999,"""2018-09-13T00:44:19.169Z"""
,,,,,,
"""XRP""",XRP,0.274852290996,0.00004283335618154363,12,3.298227491952,"""2018-09-13T00:44:19.169Z"""
,,,,,,
"""Dash""",DASH,186.585799488,0.029077785667807644,154,28734.213121152,"""2018-09-13T00:44:19.169Z"""
,,,,,,
"""Monero""",XMR,106.063186161,0.016529031699610605,60,6363.79116966,"""2018-09-13T00:44:19.169Z"""
,,,,,,
"""Bitcoin""",BTC,6421.77959928,1,20,128435.59198560001,"""2018-09-13T00:59:20.960Z"""
,,,,,,
"""XRP""",XRP,0.275842134374,0.000042954157817083446,12,3.310105612488,"""2018-09-13T00:59:20.960Z"""
,,,,,,
"""Dash""",DASH,186.625123087,0.02906127813977361,154,28740.268955397998,"""2018-09-13T00:59:20.960Z"""
,,,,,,
"""Monero""",XMR,105.924155498,0.01649451742471449,60,6355.449329880001,"""2018-09-13T00:59:20.960Z"""
,,,,,,
"""Bitcoin""",BTC,6419.11341256,1,20,128382.2682512,"""2018-09-13T01:59:20.164Z"""
,,,,,,
"""XRP""",XRP,0.272970786226,0.00004252468661667357,12,3.275649434712,"""2018-09-13T01:59:20.164Z"""
,,,,,,
"""Dash""",DASH,186.025379406,0.028979917856259127,154,28647.908428524002,"""2018-09-13T01:59:20.164Z"""
,,,,,,
"""Monero""",XMR,106.26442775,0.016554377671856836,60,6375.865664999999,"""2018-09-13T01:59:20.164Z"""
,,,,,,
"""Bitcoin""",BTC,6421.81315,1,20,128436.263,"""2018-09-13T02:14:20.152Z"""
,,,,,,
"""XRP""",XRP,0.271534192952,0.000042283103947364146,12,3.258410315424,"""2018-09-13T02:14:20.152Z"""
,,,,,,
"""Dash""",DASH,185.768457556,0.028927726985641118,154,28608.342463623998,"""2018-09-13T02:14:20.152Z"""
,,,,,,
"""Monero""",XMR,106.485438274,0.016581833788483866,60,6389.12629644,"""2018-09-13T02:14:20.152Z"""
,,,,,,
"""Bitcoin""",BTC,6414.72473704,1,20,128294.4947408,"""2018-09-13T02:29:20.420Z"""
,,,,,,
"""XRP""",XRP,0.271943407486,0.00004239362071387729,12,3.263320889832,"""2018-09-13T02:29:20.420Z"""
,,,,,,
"""Dash""",DASH,185.258812672,0.028880243543776055,154,28529.857151488002,"""2018-09-13T02:29:20.420Z"""
,,,,,,
"""Monero""",XMR,106.234223916,0.01656099494068401,60,6374.05343496,"""2018-09-13T02:29:20.420Z"""
,,,,,,
"""Bitcoin""",BTC,6412.39024817,1,20,128247.80496339999,"""2018-09-13T02:44:19.596Z"""
,,,,,,
"""XRP""",XRP,0.27191430468,0.000042404515969314294,12,3.26297165616,"""2018-09-13T02:44:19.596Z"""
,,,,,,
"""Dash""",DASH,184.749658377,0.0288113560196566,154,28451.447390058,"""2018-09-13T02:44:19.596Z"""
,,,,,,
"""Monero""",XMR,106.062981602,0.016540319209715718,60,6363.778896119999,"""2018-09-13T02:44:19.596Z"""
,,,,,,
"""Bitcoin""",BTC,6413.50913969,1,20,128270.18279379999,"""2018-09-13T02:59:19.060Z"""
,,,,,,
"""XRP""",XRP,0.272794732138,0.00004253439516438978,12,3.273536785656,"""2018-09-13T02:59:19.060Z"""
,,,,,,
"""Dash""",DASH,184.254429599,0.0287291131244737,154,28375.182158246,"""2018-09-13T02:59:19.060Z"""
,,,,,,
"""Monero""",XMR,105.925927382,0.01651606399474469,60,6355.55564292,"""2018-09-13T02:59:19.060Z"""
,,,,,,
"""Bitcoin""",BTC,6413.26438212,1,20,128265.2876424,"""2018-09-13T03:14:22.314Z"""
,,,,,,
"""XRP""",XRP,0.272992715924,0.00004256688944324453,12,3.275912591088,"""2018-09-13T03:14:22.314Z"""
,,,,,,
"""Dash""",DASH,184.152350419,0.028714292666993668,154,28359.461964526,"""2018-09-13T03:14:22.314Z"""
,,,,,,
"""Monero""",XMR,105.675191739,0.016477597903747653,60,6340.51150434,"""2018-09-13T03:14:22.314Z"""
,,,,,,
"""Bitcoin""",BTC,6419.27816182,1,20,128385.56323639999,"""2018-09-13T03:29:19.038Z"""
,,,,,,
"""XRP""",XRP,0.272643320481,0.00004247258236955725,12,3.271719845772,"""2018-09-13T03:29:19.038Z"""
,,,,,,
"""Dash""",DASH,183.952806757,0.028656307160997915,154,28328.732240578,"""2018-09-13T03:29:19.038Z"""
,,,,,,
"""Monero""",XMR,105.607095979,0.016451553167943445,60,6336.42575874,"""2018-09-13T03:29:19.038Z"""
,,,,,,
"""Bitcoin""",BTC,6415.9747114,1,20,128319.494228,"""2018-09-13T03:44:19.149Z"""
,,,,,,
"""XRP""",XRP,0.271870603103,0.00004237401413380515,12,3.2624472372359996,"""2018-09-13T03:44:19.149Z"""
,,,,,,
"""Dash""",DASH,183.592708579,0.02861493644181448,154,28273.277121166,"""2018-09-13T03:44:19.149Z"""
,,,,,,
"""Monero""",XMR,105.443838041,0.016434578187106287,60,6326.630282460001,"""2018-09-13T03:44:19.149Z"""
,,,,,,
"""Bitcoin""",BTC,6410.80594561,1,20,128216.1189122,"""2018-09-13T03:59:21.319Z"""
,,,,,,
"""XRP""",XRP,0.27221037531,0.000042461178457040106,12,3.2665245037199995,"""2018-09-13T03:59:21.319Z"""
,,,,,,
"""Dash""",DASH,183.87391013,0.028681871154735767,154,28316.582160020003,"""2018-09-13T03:59:21.319Z"""
,,,,,,
"""Monero""",XMR,105.223629881,0.016413479174651226,60,6313.417792859999,"""2018-09-13T03:59:21.319Z"""
,,,,,,
"""Bitcoin""",BTC,6415.6494876,1,20,128312.989752,"""2018-09-13T04:14:30.863Z"""
,,,,,,
"""XRP""",XRP,0.272991408662,0.00004255086085822343,12,3.275896903944,"""2018-09-13T04:14:30.863Z"""
,,,,,,
"""Dash""",DASH,184.500312704,0.028757854222023416,154,28413.048156416,"""2018-09-13T04:14:30.863Z"""
,,,,,,
"""Monero""",XMR,105.347640854,0.016420417146792883,60,6320.85845124,"""2018-09-13T04:14:30.863Z"""
,,,,,,
"""Bitcoin""",BTC,6520.46385406,1,20,130409.2770812,"""2018-09-13T14:14:18.919Z"""
,,,,,,
"""XRP""",XRP,0.280784358403,0.000043062022071967804,12,3.3694123008359997,"""2018-09-13T14:14:18.919Z"""
,,,,,,
"""Dash""",DASH,200.435090148,0.030739391343025092,154,30867.003882792,"""2018-09-13T14:14:18.919Z"""
,,,,,,
"""Monero""",XMR,116.013428031,0.017792204761439428,60,6960.80568186,"""2018-09-13T14:14:18.919Z"""
,,,,,,
"""Bitcoin""",BTC,6523.12366302,1,20,130462.4732604,"""2018-09-14T22:29:23.536Z"""
,,,,,,
"""XRP""",XRP,0.280339962015,0.00004297633718095289,12,3.36407954418,"""2018-09-14T22:29:23.536Z"""
,,,,,,
"""Dash""",DASH,192.714065702,0.02954321819690591,154,29677.966118108,"""2018-09-14T22:29:23.536Z"""
,,,,,,
"""Monero""",XMR,117.062417341,0.017945760863715375,60,7023.74504046,"""2018-09-14T22:29:23.536Z"""
,,,,,,
"""Bitcoin""",BTC,6540.43422414,1,20,130808.6844828,"""2018-09-14T22:44:24.018Z"""
,,,,,,
"""XRP""",XRP,0.279517496344,0.00004273684082202565,12,3.3542099561280003,"""2018-09-14T22:44:24.018Z"""
,,,,,,
"""Dash""",DASH,192.509197924,0.02943370292043767,154,29646.416480296,"""2018-09-14T22:44:24.018Z"""
,,,,,,
"""Monero""",XMR,116.65909702,0.017836598155734757,60,6999.5458212,"""2018-09-14T22:44:24.018Z"""
,,,,,,
"""Bitcoin""",BTC,6535.02152772,1,20,130700.43055440001,"""2018-09-14T22:59:23.783Z"""
,,,,,,
"""XRP""",XRP,0.279860239802,0.0000428246852156339,12,3.3583228776239995,"""2018-09-14T22:59:23.783Z"""
,,,,,,
"""Dash""",DASH,192.69414221,0.029486382163033047,154,29674.897900339998,"""2018-09-14T22:59:23.783Z"""
,,,,,,
